time [nanoSec],	 voltage[mV] 
2360,	 -0.007625
2362,	 -0.007279
2364,	 -0.007105
2366,	 -0.007105
2368,	 -0.007279
2370,	 -0.007625
2372,	 -0.007451
2374,	 -0.007625
2376,	 -0.007972
2378,	 -0.007625
2380,	 -0.007625
2382,	 -0.007279
2384,	 -0.007451
2386,	 -0.007972
2388,	 -0.007451
2390,	 -0.007972
2392,	 -0.007279
2394,	 -0.007451
2396,	 -0.006932
2398,	 -0.007279
2400,	 -0.007798
2402,	 -0.007451
2404,	 -0.007279
2406,	 -0.007972
2408,	 -0.007972
2410,	 -0.007625
2412,	 -0.007798
2414,	 -0.007279
2416,	 -0.007279
2418,	 -0.007798
2420,	 -0.007105
2422,	 -0.007105
2424,	 -0.007105
2426,	 -0.007451
2428,	 -0.007279
2430,	 -0.007279
2432,	 -0.007972
2434,	 -0.007625
2436,	 -0.007798
2438,	 -0.007279
2440,	 -0.007625
2442,	 -0.007625
2444,	 -0.006932
2446,	 -0.007105
2448,	 -0.007279
2450,	 -0.007798
2452,	 -0.006932
2454,	 -0.007625
2456,	 -0.007625
2458,	 -0.007798
2460,	 -0.007798
2462,	 -0.007105
2464,	 -0.007625
2466,	 -0.007625
2468,	 -0.007279
2470,	 -0.007105
2472,	 -0.007279
2474,	 -0.007972
2476,	 -0.007625
2478,	 -0.007279
2480,	 -0.007625
2482,	 -0.007972
2484,	 -0.007451
2486,	 -0.007279
2488,	 -0.007279
2490,	 -0.007451
2492,	 -0.006932
2494,	 -0.007105
2496,	 -0.007105
2498,	 -0.006932
2500,	 -0.006932
2502,	 -0.007451
2504,	 -0.006932
2506,	 -0.006759
2508,	 -0.007451
2510,	 -0.007105
2512,	 -0.007451
2514,	 -0.007625
2516,	 -0.006932
2518,	 -0.007451
2520,	 -0.007625
2522,	 -0.007625
2524,	 -0.007279
2526,	 -0.007451
2528,	 -0.006932
2530,	 -0.007625
2532,	 -0.007279
2534,	 -0.007279
2536,	 -0.007279
2538,	 -0.007972
2540,	 -0.007279
2542,	 -0.007972
2544,	 -0.007625
2546,	 -0.008492
2548,	 -0.007279
2550,	 -0.007625
2552,	 -0.007279
2554,	 -0.008145
2556,	 -0.007625
2558,	 -0.007105
2560,	 -0.007279
2562,	 -0.007625
2564,	 -0.007105
2566,	 -0.007625
2568,	 -0.007798
2570,	 -0.007451
2572,	 -0.007279
2574,	 -0.007279
2576,	 -0.007105
2578,	 -0.007972
2580,	 -0.006932
2582,	 -0.007105
2584,	 -0.006932
2586,	 -0.006932
2588,	 -0.006932
2590,	 -0.007279
2592,	 -0.007279
2594,	 -0.007798
2596,	 -0.007279
2598,	 -0.007625
2600,	 -0.007279
2602,	 -0.007625
2604,	 -0.006932
2606,	 -0.007279
2608,	 -0.007105
2610,	 -0.007625
2612,	 -0.007279
2614,	 -0.007105
2616,	 -0.007279
